GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0000122,42400.461958,60600.97579931799,26632.499796342,54131.726332454,66014.504396658,57903.40520579999,19770.3572334,50508.403935648,63123.164995126,28588.287264451,48649.356560112,68822.220149157,46434.375501408,12784.949346796,63289.232180382,32727.75379702,37894.488939004,8567.2825288908,49537.968521979
GO:0000976,9807.676624,16810.1927792422,15076.1811032217,29781.739668816,29591.370381141,10810.16255781,6856.115342500001,28996.992631992,14344.7315506174,5632.9617945403,13294.8080701864,29174.373064113,11868.019660656,9774.6401067799,30084.020401461,14414.4327542394,11939.7383472424,3299.2090246712,23473.290008469
GO:0000977,9305.425126,15946.398084956,13465.0046353614,24948.944722916,27639.713438694,9992.55391365,6116.617275739999,26390.3960994,13760.976691869098,5223.366741051,12355.791570996,27516.24073581,11153.885198832,9088.3256828782,28699.170795672,12405.6590626114,10922.9582819524,3091.0050082852,22237.644057909
GO:0001012,9316.977722,16136.2532522463,13623.2358582243,25362.961900788,28130.017705173,10256.21413278,6154.057865875,26630.668693542,14030.7740068508,5273.6107979856,12461.2103684912,27817.358752404,11248.6672654176,9273.794315612202,28910.445580809,12556.9825003966,11037.751928244,3123.2268020112,22413.695871189
GO:0001067,12511.509206,20229.4643866795,18138.014027001,33865.783232136,37641.495537162,12872.83245864,8214.48841615,34207.23216876,17463.7293153522,6785.044332895101,15459.0303223976,33310.643933319,14018.2628153664,11065.569412337,33739.417707957,16767.185982652,14250.56314274,3783.3733688348,26688.921233121
GO:0003674,639664.233026,1100420.21799812,607752.8550291001,961596.3976171,1172014.9434684,577077.642141,406341.9629615,737430.87532086,1201093.8667636,891994.67595133,800173.8959546399,1151726.42471682,782063.2520304,405061.93476485,742222.93459938,858609.18237428,594390.8575518399,122678.857719012,602272.425174
GO:0003676,279649.204,460847.7168771499,181791.63380037,281901.83594778,325581.94296648,117008.5100646,101916.1437685,170713.6065723,535956.986038795,201763.453514667,307481.7047776,406269.49533249,272290.29434496,88284.958645257,240282.93390933,150385.349579444,227381.10966556,38679.258453636,128033.83923477
GO:0003677,43952.567552,46795.037547632,33675.727392945,77386.478946054,79014.920737968,59178.4292946,23410.94284585,62055.30719662801,68030.033693937,26271.216733758,39336.98738244,77266.25024612699,40383.678071904,47674.76175946,57293.419692171,39925.823294542,35199.284199348,11670.323935043602,52310.60104462499
GO:0003690,15253.293498,24640.3479187013,22183.854462297,34489.06753807,38609.90715384,13730.30467809,9537.56883292,35401.243024794,24684.7690589138,8563.3126999975,15004.1025264912,38276.233008705,17073.7232780064,10624.883650502,33660.222900486,18161.7671657522,13869.504523088,4465.9245033896,30319.824994893
GO:0003700,12597.151178,20128.1187442832,20969.546141412,39816.146148494,41904.569384262,13387.6065708,8907.036412799998,36518.659012794,21614.5276839787,8497.4530321826,18068.478306704,36160.929693132,14075.9780201088,11685.941714062,36442.743408084,17229.2400124256,16307.5875933,4288.108433878,30842.911674456
GO:0005488,474338.277854,785837.24731173,342763.75376232,727252.9949501001,819261.17635095,435275.676066,321188.6400975,526813.39092912,913744.45138387,480430.59947269,623602.0798532,849717.88202391,527184.41568192,297321.11284821,579267.6904349399,648805.36864056,448449.5179200401,105261.39032712,453516.05905074
GO:0005575,751153.2290559999,1122583.75506659,527100.3057094499,995051.28951858,1209274.67835774,587790.4960619999,434458.9063350001,804319.18239408,1235945.63441025,773170.71384345,881899.3534917601,1252465.86960135,804184.230936,424622.02477145,826580.92013016,899741.9142610201,633946.24312896,133683.818791492,641005.3061886601
GO:0005622,688303.8128940001,1049965.36758944,486446.35025217,931525.76965492,1076515.66100691,546317.095863,417833.5514595,690477.73191696,1190807.00767117,627693.39941855,833749.2805739201,1177250.22872388,724874.0675836799,377386.22125193,739858.44431187,876780.46803946,605415.5736951999,127361.963605564,547864.1209232099
GO:0005623,706577.8238179999,1060228.35520587,497365.60307214,951629.65256262,1104397.19653149,565882.287894,423586.740496,735027.56870892,1218025.23952693,642163.0226496401,845635.15940872,1195025.41227969,740839.8551721601,389459.93754107,757701.99019788,889300.56721334,616407.75072032,128257.418220372,599893.9589319599
GO:0005634,345649.232686,558278.1128081699,234658.89246789,488827.5604865,574001.33710815,282466.197552,144476.19511335,326608.34223528,621748.347563,317338.94830283,420710.6992,595654.39786665,356104.95284928,165934.27643342,416990.7613716,310766.61244702,306735.355738,86456.218085096,277301.18867661
GO:0005730,128720.170344,233370.755843239,94342.486249605,124800.33452669,142021.865774853,40029.753225,41213.4197343,75635.741373126,262225.17175121594,94499.802630113,162672.511930096,181313.965237845,135840.804390144,21342.937267421,115181.789205132,63298.17919655601,105735.299964728,14543.7493437228,47919.031769784
GO:0006355,108543.752382,161581.725695512,68051.589275868,153053.173431816,173115.231316173,117254.836314,50351.06582125001,170588.92461924,163580.35144042998,65329.622482737,130849.367739512,190439.565293316,117221.33790048,83198.59042438901,177408.1126701,101582.267167288,97443.704256504,23204.755096672,129329.06434056
GO:0006357,68476.58065,100621.015807327,50127.109601151,109442.195482476,128591.228743866,94018.0409784,38540.7667505,142935.00686298,116822.724296885,49079.501012908,101574.212482104,143672.392029414,73596.89772623999,65141.410793195,150093.469361745,78241.964624872,73311.92772017601,18961.28496228,92672.458618908
GO:0006403,14734.906556,34775.260151344,11940.008872275,36771.828118528,32861.99639088,20931.67121661,9307.385871605,20852.248766322,39564.530578547,14978.4101157818,22983.632178432,37542.788691798,23973.1728973152,8034.551850233699,21114.515405373,15838.1019010792,18690.04706734,3194.8550321272,18891.898380705
GO:0006405,7015.242314,19753.453363494,4855.2672972342,20106.413290228,17177.2425433899,12740.95713891,5537.542616235,10424.1161046108,20088.8036357609,7448.5397099782,15215.7964992776,17205.7529439693,13723.7633417472,1811.8610413904,10808.9742187206,9006.4862192858,11955.0028966196,1969.931027432,6453.4634851302
GO:0006406,4890.7581,11204.9991262092,3556.3910457801,12691.793718183,7051.3001822907,4729.31339496,2805.839863495,6566.926568327999,7151.039082130401,4464.8723677004,6474.7792193808,10377.817509288,7464.844059984,1406.6924588057,7175.4626399508,6895.8731467362,6089.221068590399,1238.51391183008,4506.6628691385
